name,dob,hometown,gender
Gary Kroeger,1957-04-13,"Cedar Falls, Iowa, United States",male
Jim Belushi,1954-06-15,"Chicago, Illinois, U.S.",male
Martin Short,1950-03-26,"Hamilton, Ontario, Canada",male
Christopher Guest,1948-02-05,"New York City, US",male
Rich Hall,1954-06-10,"Alexandria, Virginia, USA",male
Pamela Stephenson,1949-12-04,"Takapuna, Auckland, New Zealand",female
Billy Crystal,1948-03-14,"Long Beach, Long Island, New York, USA",male
Joan Cusack,1962-10-11,"New York City, New York, U.S.",female
Robert Downey Jr.,1965-04-04,"Manhattan, New York, U.S.",male
Damon Wayans,1960-09-04,"New York, New York, USA",male
Danitra Vance,1954-07-13,"Chicago, Illinois, USA",female
Nora Dunn,1952-04-29,"Chicago, Illinois, U.S.",female
A. Whitney Brown,1952-07-08,"Charlotte, Michigan, USA",male
Terry Sweeney,1960-03-23,"Queens, New York, USA",male
Randy Quaid,1950-10-01,"Houston, Texas, United States",male
Jon Lovitz,1957-07-21,"Tarzana, California, United States",male
Anthony Michael Hall,1968-04-14,"West Roxbury, Boston, Massachusetts, U.S.",male
Dennis Miller,1953-11-03,"Pittsburgh, Pennsylvania, USA",male
Victoria Jackson,1959-08-02,"Miami, Florida, USA",female
Jan Hooks,1957-04-23,"Decatur, Georgia, USA",female
Dana Carvey,1955-06-02,"Missoula, Montana, USA",male
Kevin Nealon,1953-11-18,"Bridgeport, Connecticut, USA",male
Phil Hartman,1948-09-24,"Brantford, Ontario, Canada",male
Mike Myers,1963-05-25,"Scarborough, Ontario, Canada",male
Ben Stiller,1965-11-30,"New York City, New York, U.S.",male
Chris Rock,1965-02-07,"Andrews, South Carolina, USA",male
Rob Schneider,1963-10-31,"San Francisco, California, United States",male
Adam Sandler,1966-09-09,"Brooklyn, New York, U.S.",male
Chris Farley,1964-02-15,"Madison, Wisconsin, U.S.",male
David Spade,1964-07-22,"Birmingham, Michigan, U.S.",male
Julia Sweeney,1959-10-10,"Spokane, Washington, USA",female
Tim Meadows,1961-02-05,"Highland Park, Michigan, U.S.",male
Robert Smigel,1960-02-07,"New York City, New York, USA",male
Ellen Cleghorne,1965-11-29,"Brooklyn, New York, U.S.",female
Beth Cahill,1963-09-15,"Chicago, Illinois, USA",female
Melanie Hutsell,1968-08-02,"Maryville, Tennessee, USA",female
Siobhan Fallon Hogan,1961-05-13,"Syracuse, New York, United States",female
Michael McKean,1947-10-17,"New York City, New York, U.S.",male
Norm Macdonald,1963-10-17,"Quebec City, Canada",male
Jay Mohr,1970-08-23,"Verona, New Jersey, United States",male
Sarah Silverman,1970-12-01,"Bedford, New Hampshire, USA",female
Laura Kightlinger,1969-06-13,"Jamestown, New York, USA",female
Molly Shannon,1964-09-16,"Shaker Heights, Ohio, USA",female
Chris Elliott,1960-05-31,"New York City, U.S.",male
Morwenna Banks,1961-09-20,"Redruth, Cornwall, England, UK",female
Janeane Garofalo,1964-09-28,"Newton, New Jersey, USA",female
Mark McKinney,1959-06-26,"Ottawa, Ontario, Canada",male
Darrell Hammond,1955-10-08,"Melbourne, Florida, United States",male
Will Ferrell,1967-07-16,"Irvine, California, United States",male
Jim Breuer,1967-06-21,"Valley Stream, Long Island, New York, USA",male
Cheri Oteri,1962-09-19,"Upper Darby, Pennsylvania, United States",female
Colin Quinn,1959-06-06,"Brooklyn, New York, USA",male
Nancy Carell,1966-07-19,"Cohasset, Massachusetts, U.S.",female
Fred Wolf,1964-11-07,"New York City, New York",male
David Koechner,1962-08-24,"Tipton, Missouri, USA",male
Chris Kattan,1970-10-19,"Sherman Oaks, Los Angeles, California U.S.",male
Ana Gasteyer,1967-05-04,"Washington, D.C., US",female
Tracy Morgan,1968-11-10,"The Bronx, New York, USA",male
Chris Parnell,1967-02-05,"Memphis, Tennessee, U.S.",male
Horatio Sanz,1969-06-04,"Santiago, Chile",male
Jimmy Fallon,1974-09-19,"Brooklyn, New York, USA",male
Maya Rudolph,1972-07-27,"Gainesville, Florida, U.S.",female
Rachel Dratch,1966-02-22,"Lexington, Massachusetts, U.S.",female
Jerry Minor,1969-10-04,"Memphis, Tennessee",male
Tina Fey,1970-05-18,"Upper Darby, Pennsylvania, United States",female
Amy Poehler,1971-09-16,"Newton, Massachusetts, United States",female
Dean Edwards,1970-07-30,"The Bronx, New York, USA",male
Seth Meyers,1973-12-28,"Bedford, New Hampshire, USA",male
Jeff Richards,1974-10-21,"Walnut Creek, California, U.S.",male
Will Forte,1970-06-17,"Alameda County, California, United States",male
Fred Armisen,1966-12-04,"Hattiesburg, Mississippi, USA",male
Kenan Thompson,1978-05-10,"Atlanta, Georgia, U.S.",male
Finesse Mitchell,1972-06-12,"Atlanta, Georgia, U.S.",male
Rob Riggle,1970-04-21,"Louisville, Kentucky, U.S.",male
Jason Sudeikis,1975-09-18,"Fairfax, Virginia, U.S.",male
Bill Hader,1978-06-07,"Tulsa, Oklahoma, U.S.",male
Andy Samberg,1978-08-18,"Berkeley, CA",male
Kristen Wiig,1973-08-22,"Canandaigua, New York, U.S.",female
Casey Wilson,1980-10-24,"Alexandria, Virginia, U.S.",female
Abby Elliott,1987-06-16,"New York City, New York, U.S.",female
Michaela Watkins,1971-12-14,"Syracuse, New York, United States",female
Bobby Moynihan,1977-01-31,"Eastchester, New York, U.S.",male
Jenny Slate,1982-03-25,"Milton, Massachusetts, U.S.",female
Nasim Pedrad,1981-11-18,"Tehran, Iran",female
Taran Killam,1982-04-01,"Culver City, California, U.S.",male
Vanessa Bayer,1981-11-14,"Orange, Ohio, USA",female
Paul Brittain,1977-02-16,"Naperville, Illinois, USA",male
Jay Pharoah,1987-10-14,"Chesapeake, Virginia, U.S.",male
Cecily Strong,1984-02-08,"Oak Park, IL",female
Tim Robinson,1981-05-23,"Detroit, Michigan, United States",male
Aidy Bryant,1987-05-07,"Phoenix, Arizona, USA",female
Kate McKinnon,1984-01-06,"Sea Cliff, New York, United States",female
Colin Jost,1982-06-29,"Staten Island, New York, U.S.",male
Sasheer Zamata,1986-05-06,"Indianapolis, Indiana, United States",female
Beck Bennett,1984-10-01,"Wilmette, Illinois, United States",male
Kyle Mooney,1984-09-04,"San Diego, California, U.S.",male
Mike O'Brien,1976-06-22,,male
Noël Wells,1986-12-23,"San Antonio, Texas, United States",female
Leslie Jones,1967-09-07,"Memphis, Tennessee, USA",female
Pete Davidson,1993-11-16,"Staten Island, New York, United States",male
Michael Che,1983-05-19,"Manhattan, New York, USA",male
John Milhiser,1981-11-29,"Belle Meade, New Jersey, USA",male
Brooks Wheelan,1986-08-21,"Cedar Rapids, Iowa, USA",male
Jon Rudnitsky,1989-11-22,"Harrington Park, New Jersey, USA",male
